Day, Susceptible, Infected, Recovered, Dead, Detection Probability, R₀, Latent, Prodromal, Symptomless Infectious, Sick, Hospitalized, ICU, Isolated, Home Isolated, Infections, Sick, Med. Consult., Hospitalizations, ICU Adm., Deaths, Infections, Sick
176,66013844.4268527,7739055.95110305,11209916.710694,37182.9113504792,1,3,2321059.89624732,554813.060264363,2042536.85772837,2820646.13686299,126929.076158835,31732.2690397087,0,2820646.13686299,18985155.5731476,9343963.91764882,3737585.56705953,420478.376294197,105119.594073549,37182.9113504792,605847.486204308,321207.442756783
177,65407996.9406484,7909764.51143324,11643617.0672792,38621.4806394191,1,3,2360857.44399641,567057.062932033,2092377.00189201,2889473.00261278,130026.285117575,32506.5712793938,0,2889473.00261278,19591003.0593519,9665171.36040561,3866068.54416224,434932.711218252,108733.177804563,38621.4806394191,614545.188788861,329083.957801053
178,64793451.7518595,8076857.30895219,12089590.1809436,40100.7582449574,1,3,2398827.37052961,576246.191047938,2142749.17389735,2959034.57347729,133156.555806478,33289.1389516195,0,2959034.57347729,20205548.2481407,9994255.31820666,3997702.12728266,449741.4893193,112435.372329825,40100.7582449574,622691.58686224,334406.620643141
179,64170760.1649973,8239786.76693062,12547832.3362293,41620.7318430473,1,3,2434819.45334347,586382.556056408,2191805.59816291,3026779.15936783,136205.062171552,34051.265542888,0,3026779.15936783,20828239.835003,10328661.9388498,4131464.77553992,464789.787248241,116197.44681206,41620.7318430473,630240.161378458,340096.572907895
180,63540520.0036188,8397988.69153746,13018310.0145902,43181.2902538142,1,3,2468675.56436416,596393.204848839,2239826.36737627,3093093.55494819,139189.209972668,34797.3024931671,0,3093093.55494819,21458479.9963814,10668758.5117577,4267503.40470308,480094.133029096,120023.533257274,43181.2902538142,637156.005578339,346075.189304696
181,62903363.9980405,8550895.53640937,13500958.2475713,44782.2179791096,1,3,2500242.89818516,605300.515736003,2287047.89144505,3158304.23104316,142123.690396942,35530.9225992356,0,3158304.23104316,22095636.0019598,11014833.7010624,4405933.48042496,495667.516547808,123916.879136952,44782.2179791096,643411.44839377,350510.132410688
182,62259952.5496467,8697945.07798609,13995679.1819244,46423.1904430468,1,3,2529383.35170937,615243.696104379,2332393.57267239,3220924.45749996,144941.600587498,36235.4001468746,0,3220924.45749996,22739047.4503536,11365343.8334731,4546137.53338923,511440.472506289,127860.118126572,46423.1904430468,648964.224469416,356989.128241573
183,61610988.3251773,8838567.34167856,14502340.564179,48103.7689653754,1,3,2555950.24605682,622142.529258119,2377399.31787272,3283075.2484909,147738.386182091,36934.5965455226,0,3283075.2484909,23388011.674823,11722332.9617147,4688933.18468586,527504.983277159,131876.24581929,48103.7689653754,653802.53734111,360128.852433464
184,60957185.7878362,8972216.27349952,15020774.5418793,49823.396785225,1,3,2579825.04887155,631158.449244044,2419717.76566125,3341515.00972268,150368.17543752,37592.0438593801,0,3341515.00972268,24041814.2121641,12082461.8141481,4832984.72565925,543710.781636665,135927.695409166,49823.396785225,657881.728733085,366197.242509376
185,60299304.0591031,9098338.11853013,15550776.4274063,51581.3949607453,1,3,2600880.44622968,636610.22456835,2461555.92804748,3399291.51968462,152968.118385808,38242.029596452,0,3399291.51968462,24699695.9408972,12448659.0566575,4979463.622663,560189.657549587,140047.414387397,51581.3949607453,661198.808086272,368793.884644363
